CycleNo,Navg
35738,-4215.900370
35775,-5487.231841
35840,-4805.891667
36011,-5155.345278
36141,-5363.702606
36276,-5610.105986
36542,-7583.483536
36794,-4180.279205
36860,-5837.865141
37021,-5677.489993
37058,-5896.258203
37080,-6010.529847
37238,-4760.819235
37289,-4890.824982
37452,-5087.115797
37567,-4286.123902
37850,-6097.257743
38504,-5360.322659
38561,-4460.305036
38769,-5071.864777
38864,-4577.074392
38911,-4109.122315
39111,-4109.122315
39568,-5605.396465
40005,-4576.243227
41339,-4193.530058
41474,-4775.487063
41870,-4193.530058
42027,-4007.019134
42620,-4007.019134
42699,-4356.306593
42860,-5315.848676
43090,-6014.159488
43566,-5326.448314
43731,-6127.919676
43741,-4487.520293
43957,-3488.945803
44285,-6137.273432
44399,-4508.768081
44771,-6062.357464
45388,-5628.178683
46013,-5570.916306
46076,-5186.530106
46259,-5068.285551
46297,-7089.390714
46922,-5003.573056
47011,-4358.958174
47881,-4897.349164
48031,-4358.958174
48717,-4839.034794
48734,-4172.671084
48847,-4494.111697
48935,-5529.442231
49092,-4415.959204
49177,-4718.744125
49574,-5208.414152
49633,-6671.284505
49889,-3548.005650
50595,-5425.614092
50769,-6597.958188
51028,-4717.845072
51909,-4439.862252
51971,-5171.842104
51972,-5355.356061
52086,-4177.361738
52264,-5491.376591
52471,-4177.361738
52522,-5680.828421
52571,-4696.997395
52659,-6420.968125
52735,-3666.537363
53119,-4963.236277
53774,-4267.002645
53781,-3667.070015
54250,-5306.317184
54835,-3664.443498
55542,-5113.365356
55962,-3972.570296
56305,-3664.443498
56435,-3788.811100
56623,-3976.965891
56747,-4267.002645
56775,-4928.031364
56819,-5288.848748
57053,-3784.415504
57389,-4845.944790
57616,-5307.235220
57956,-4278.719914
58348,-4849.419806
58862,-6476.588926
59192,-4851.565725
59760,-5956.873438
60291,-4501.899671
60293,-4892.452096
60603,-4289.906746
61352,-5494.390992
61823,-5356.068268
62024,-5594.786707
62550,-4829.945668
63061,-4713.519760
63372,-6306.107326
64126,-4721.528742
64164,-4563.554679
64530,-4625.696496
65406,-6661.558632
65473,-5775.902689
65559,-3730.773852
65718,-4501.581562
65790,-4638.292235
66078,-4068.135929
66119,-4975.904557
67095,-4548.640090
67271,-5809.651482
67424,-4582.251447
67444,-6885.226152
67469,-6329.205205
67991,-5298.333278
68197,-5624.542808
68338,-5801.369127
68486,-5480.099706
68636,-6337.132806
70520,-5244.624322
70592,-6124.293202
70839,-6185.712127
70872,-5733.938837
71096,-4904.709906
71355,-4001.973791
71489,-5344.769374
71643,-7220.241809
71773,-5054.948645
71920,-5575.493582
71931,-7175.662425
75593,-4029.450839
76033,-5345.702346
76590,-5070.586502
77817,-4155.095584
78024,-4155.095584
80387,-4183.112620
81270,-4183.112620
81608,-5242.835601
81732,-5403.425839
82271,-3794.252063
82562,-4106.873426
82627,-5656.677025
83015,-5389.990940
84188,-5028.634482
84849,-5498.338399
85245,-5577.629402
85345,-5250.277317
85987,-4972.804834
88005,-4162.877020
88685,-4162.877020
88746,-3945.309328
89421,-5393.281432
89487,-3944.677155
90563,-5242.806234
90684,-5343.093152
91199,-4973.377904
92124,-7374.098505
92723,-5495.174765
94235,-3797.707351
94294,-5544.515108
95143,-3797.707351
96611,-4962.773046
96931,-4702.783210
97345,-4976.975004
97565,-4343.858669
97692,-4343.858669
98619,-5596.056024
98757,-6123.839494
99041,-4614.447283
99942,-4700.574049
100001,-6393.313196
100485,-4424.380958
100595,-6867.175929
101845,-5629.178647
102037,-5288.115944
102341,-4347.579129
102486,-4235.471505
102878,-4617.312640
102993,-5246.660901
103455,-5579.589719
105490,-4315.566293
105912,-4315.566293
106627,-5981.378485
107701,-5222.433172
110160,-4856.756607
112097,-5303.514178
